SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
4;122907958;637974499829770501;False;relax;65535;0;9419;3.593063;0.8562753;70.19592;9.901747;76.93138;352.0923;268.5828;3.33784;23.07895
4;130575085;637974499837436832;False;relax;65535;0;8082;3.083038;0.8766766;70.21535;9.859128;77.04571;12.49575;318.7779;2.229389;32.03907
4;140591836;637974499847454509;False;relax;65535;0;8027;3.062057;0.8775159;70.18835;9.885344;76.94282;1.097154;268.2751;1.37221;44.76493
4;150582285;637974499857446260;False;relax;65535;0;7539;2.8759;0.8849623;70.20383;9.868662;76.84196;7.153603;223.308;1.339429;45.06805
4;160577557;637974499867438924;False;relax;65535;0;7952;3.033447;0.8786603;70.18329;9.877491;76.96249;5.099789;284.6803;2.280992;45.05618
4;170576555;637974499877440670;False;relax;65535;0;8338;3.180695;0.8727702;70.20641;9.879072;77.00667;4.611132;303.0157;359.4438;45.09273
4;180575124;637974499887438618;False;relax;65535;0;7918;3.020477;0.8791791;70.19753;9.881624;76.98689;2.883676;291.5232;359.2916;45.035
4;190568122;637974499897430362;False;relax;65535;0;8062;3.075409;0.8769818;70.19115;9.88338;76.9634;2.074586;279.6437;0.02642859;45.00649
4;200561037;637974499907427108;False;relax;65535;0;7719;2.944565;0.8822156;70.19042;9.88228;76.96368;2.338193;280.0108;0.1098445;45.037
4;210558947;637974499917425018;False;relax;65535;0;7318;2.791595;0.8883345;70.19519;9.850072;76.9831;20.67041;291.023;0.2333582;45.09258
4;220554889;637974499927416764;False;relax;65535;0;7531;2.872849;0.8850843;70.19637;9.888079;76.96934;1.042385;281.821;359.1305;45.00119
4;230541839;637974499937404509;False;relax;65535;0;7415;2.828598;0.8868544;70.19298;9.881569;76.95317;3.712572;277.8892;2.193667;45.02995
4;240543882;637974499947406257;False;relax;65535;0;8203;3.129196;0.8748302;70.24594;9.869215;77.05003;7.719032;331.4908;1.445635;44.94291
4;250535219;637974499957398968;False;relax;65535;0;7419;2.830124;0.8867933;70.27599;9.845888;77.08016;16.58975;346.3642;356.5257;44.97549
4;260537642;637974499967400713;False;relax;65535;0;7740;2.952576;0.8818952;70.27446;9.858342;77.0815;11.25314;345.657;356.6758;45.03918
4;270520677;637974499977383552;False;relax;65535;0;8113;3.094864;0.8762035;70.19345;9.883345;76.99661;1.0192;291.5494;358.1321;45.09569
4;280517846;637974499987380297;False;relax;65535;0;7281;2.777481;0.8888991;70.18714;9.885693;76.95045;359.7735;267.8183;359.0164;44.99076
4;290508390;637974499997372044;False;relax;65535;0;7452;2.842712;0.8862898;70.19621;9.882038;76.88951;0.383907;238.9858;0.7373533;45.05178
4;300508585;637974500007370058;False;relax;65535;0;7481;2.853775;0.8858473;70.19464;9.883347;76.89056;359.9803;240.7815;0.9006806;44.96283
4;310501134;637974500017366805;False;relax;65535;0;7445;2.840042;0.8863966;70.18575;9.883761;76.95018;1.114371;269.8526;358.7408;44.97254
4;320499220;637974500027364390;False;relax;65535;0;7088;2.703857;0.891844;70.20295;9.888571;76.99192;359.0382;292.5651;358.2141;45.0239
4;330527351;637974500037391140;False;relax;65535;0;7346;2.802277;0.8879072;70.21024;9.885245;77.00433;0.8078842;299.6239;357.5858;44.34325
4;340490645;637974500047354061;False;relax;65535;0;7215;2.752304;0.8899062;70.21136;9.89637;77.00407;354.6652;299.7007;357.2879;45.01017
4;350487166;637974500057350803;False;relax;65535;0;7415;2.828598;0.8868544;70.20444;9.887068;76.99722;0.2818624;295.8918;358.1899;45.00517
4;360479322;637974500067342548;False;relax;65535;0;7248;2.764893;0.8894026;70.20473;9.886017;77.00026;0.334252;296.5497;357.8631;45.1096
4;370472211;637974500077334909;False;relax;65535;0;7060;2.693176;0.8922713;70.20587;9.888602;76.99753;359.1559;296.3538;358.0889;45.08072
4;380468615;637974500087331658;False;relax;65535;0;7002;2.671051;0.8931563;70.20754;9.890221;76.99677;358.1721;296.3022;358.0332;45.05002
4;390463614;637974500097329635;False;relax;65535;0;8024;3.060913;0.8775616;70.20722;9.891363;76.99667;357.2853;296.2726;358.1656;45.04723
4;400457866;637974500107321381;False;relax;65535;0;7550;2.880096;0.8847944;70.2034;9.888896;76.99266;358.6207;293.3938;358.2868;45.09052
4;410451964;637974500117313700;False;relax;65535;0;7187;2.741623;0.8903334;70.19415;9.888106;76.95321;359.5194;272.5271;359.0072;45.04608
4;420450696;637974500127315448;False;relax;65535;0;6743;2.57225;0.8971084;70.19593;9.889819;76.96115;358.4729;276.706;358.7274;45.02143
4;430446469;637974500137307860;False;relax;65535;0;7332;2.796936;0.8881208;70.20358;9.889125;76.98421;358.7933;289.9153;359.1596;45.01632
4;440440807;637974500147304972;False;relax;65535;0;6840;2.609253;0.8956283;70.20367;9.888318;76.98597;358.9993;290.0933;358.7261;45.02964
4;450438626;637974500157301720;False;relax;65535;0;7537;2.875137;0.8849928;70.20292;9.888857;76.98455;358.8049;289.753;359.0518;44.9637
4;460431218;637974500167294320;False;relax;65535;0;6972;2.659607;0.8936141;70.20476;9.89102;76.98308;357.9833;289.5214;358.8802;45.0557
4;470426424;637974500177291067;False;relax;65535;0;7607;2.90184;0.8839246;70.20228;9.888972;76.98238;359.1298;289.5296;359.0323;45.03346
4;480422543;637974500187283726;False;relax;65535;0;7505;2.86293;0.8854811;70.20274;9.889744;76.9819;358.7638;289.6396;359.2012;45.02696
4;490417043;637974500197280472;False;relax;65535;0;7068;2.696228;0.8921492;70.20212;9.888806;76.98064;359.3482;289.0281;359.1334;45.02042
4;500410003;637974500207272438;False;relax;65535;0;7429;2.833939;0.8866407;70.18933;9.878979;76.90307;4.38699;250.8193;1.162042;45.00916
4;510406920;637974500217270173;False;relax;65535;0;7238;2.761078;0.8895552;70.20989;9.874635;76.84575;4.219159;223.3825;1.659785;44.98003
