SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
19;20476327;637976336246434172;False;relax;65535;0;19690;7.511139;0.6995499;70.30875;9.997358;76.94793;6.52648;278.6271;0.3952052;23.07167
19;29424462;637976336255381168;False;relax;65535;0;19879;7.583237;0.6966659;70.30907;9.997568;76.94794;6.410291;278.6661;0.3765019;42.68711
19;39420020;637976336265375344;False;relax;65535;0;19739;7.529831;0.6988022;70.3084;9.99754;76.94706;6.403102;278.4643;0.4907629;44.9842
19;49416517;637976336275370545;False;relax;65535;0;20251;7.725143;0.6909896;70.30939;9.997969;76.94726;6.325505;278.5735;0.4288807;45.04984
19;59408090;637976336285365459;False;relax;65535;0;20828;7.945251;0.6821851;70.30965;9.998446;76.94672;5.983898;278.4317;0.6405645;45.11425
19;69408709;637976336295364088;False;relax;65535;0;20791;7.931137;0.6827497;70.30942;9.998085;76.94712;6.084408;278.4271;0.4644989;45.02467
19;79403550;637976336305360354;False;relax;65535;0;20197;7.704544;0.6918135;70.31037;9.998978;76.94668;5.737449;278.2908;0.5188408;44.96513
19;89396139;637976336315352383;False;relax;65535;0;19578;7.468414;0.7012589;70.31074;9.999189;76.94719;5.642254;278.4096;0.5594105;45.05389
19;99422531;637976336325377465;False;relax;65535;0;20325;7.753372;0.6898604;70.31032;9.998822;76.94614;5.783222;278.0909;0.5629579;45.08659
19;109386750;637976336335345401;False;relax;65535;0;20475;7.810593;0.6875715;70.31143;9.999696;76.94664;5.448438;278.1916;0.4664801;45.00022
19;119614430;637976336345570363;False;relax;65535;0;19986;7.624054;0.6950332;70.31232;9.999728;76.94701;5.305059;278.0906;0.7367486;44.82713
19;129597132;637976336355551911;False;relax;65535;0;20314;7.749176;0.6900283;70.31185;9.99913;76.94758;5.477818;278.0147;0.4295518;45.03226
19;139595462;637976336365550498;False;relax;65535;0;20954;7.993317;0.6802624;70.31316;10.00055;76.94572;4.94872;277.7925;0.6212467;44.96048
19;149586885;637976336375545540;False;relax;65535;0;20282;7.736969;0.6905165;70.31241;9.999959;76.94733;5.097127;278.0353;0.3802749;45.04448
19;159581825;637976336385540547;False;relax;65535;0;20396;7.780457;0.688777;70.31273;10.00028;76.94749;5.005719;278.048;0.5083579;45.01186
19;169576227;637976336395530503;False;relax;65535;0;20229;7.716751;0.6913252;70.3131;10.00037;76.94732;4.845606;278.0148;0.4634055;45.0259
19;179571577;637976336405525468;False;relax;65535;0;19992;7.626343;0.6949416;70.31224;10.00052;76.94803;4.912725;278.0034;0.2932932;45.0228
19;189573266;637976336415530569;False;relax;65535;0;20201;7.70607;0.6917525;70.31279;10.0003;76.94758;4.976056;278.072;0.4153378;44.90052
19;199561328;637976336425515527;False;relax;65535;0;19757;7.536697;0.6985275;70.31264;10.00031;76.94775;4.856183;278.0298;0.4319607;45.04216
19;209556161;637976336435510465;False;relax;65535;0;19870;7.579803;0.6968032;70.3125;10.0003;76.94715;4.931317;277.8792;0.4762451;45.06642
19;219548346;637976336445505688;False;relax;65535;0;20590;7.854462;0.6858168;70.31223;9.999825;76.94704;5.170204;277.9974;0.5287197;45.08045
19;229548421;637976336455505334;False;relax;65535;0;20045;7.646561;0.6941329;70.31195;9.999515;76.94742;5.316672;278.0028;0.4736398;45.01058
19;239539987;637976336465495581;False;relax;65535;0;21390;8.159637;0.6736095;70.31332;10.00056;76.94678;4.834286;277.9793;0.3350036;45.04377
19;249536968;637976336475495424;False;relax;65535;0;19916;7.597351;0.6961013;70.31373;10.00107;76.94658;4.637789;277.9761;0.4730679;45.03922
19;259534383;637976336485490215;False;relax;65535;0;19439;7.41539;0.7033799;70.31454;10.00055;76.94667;4.758737;277.9321;0.5520705;45.00018
19;269527373;637976336495485547;False;relax;65535;0;19683;7.508469;0.6996567;70.31258;9.999941;76.94595;5.006999;277.7592;0.5717528;45.00151
19;279521663;637976336505480384;False;relax;65535;0;19555;7.459641;0.7016098;70.30642;9.996582;76.94692;6.557784;277.0988;0.2178561;45.01715
19;289586279;637976336515540409;False;relax;65535;0;20547;7.838058;0.6864729;70.30239;9.992902;76.95118;8.093952;277.1019;359.4419;33.97121
19;299513190;637976336525470585;False;relax;65535;0;19887;7.586288;0.6965438;70.30378;9.995432;76.94914;6.93129;277.4516;0.05472623;43.66511
19;309504431;637976336535460498;False;relax;65535;0;19894;7.588959;0.696437;70.30439;9.99619;76.95032;6.637185;277.6119;0.007518991;45.04393
19;319501654;637976336545455567;False;relax;65535;0;19618;7.483673;0.7006485;70.30392;9.99521;76.95094;6.96019;277.7074;0.04559563;45.0429
19;329497380;637976336555455582;False;relax;65535;0;19897;7.590103;0.6963912;70.30337;9.995302;76.95003;6.949861;277.3319;-0.0009351362;45.07451
19;339489490;637976336565446299;False;relax;65535;0;19099;7.28569;0.7085679;70.30209;9.993517;76.95116;7.88357;278.2541;359.8532;45.1028
19;349486247;637976336575440506;False;relax;65535;0;18722;7.141876;0.7143206;70.30669;9.995923;76.95067;6.592322;278.1951;0.07675376;45.07007
19;359518308;637976336585475430;False;relax;65535;0;19533;7.451248;0.7019455;70.31232;10.00063;76.94734;4.383935;277.6236;0.669632;44.94138
19;369475117;637976336595430434;False;relax;65535;0;18771;7.160568;0.7135729;70.31172;9.999739;76.94848;4.721717;277.861;0.3684529;45.08874
19;379475472;637976336605430472;False;relax;65535;0;18602;7.0961;0.7161517;70.31097;9.998761;76.94769;5.138532;277.7626;0.5881618;44.98252
19;389471745;637976336615430385;False;relax;65535;0;18956;7.23114;0.71075;70.31263;10.00018;76.94574;4.391925;277.4114;0.4919754;44.93572
19;399461696;637976336625416115;False;relax;65535;0;19652;7.496643;0.7001297;70.31235;10.00047;76.94327;4.338601;276.8892;0.7046281;45.04675
19;409456470;637976336635410645;False;relax;65535;0;19643;7.49321;0.700267;70.31207;10.00012;76.94661;4.341454;277.3023;0.296914;45.05381
19;419453217;637976336645410694;False;relax;65535;0;20055;7.650375;0.6939803;70.31249;9.99931;76.94949;4.598724;277.8402;359.8657;45.04328
19;429450335;637976336655405470;False;relax;65535;0;20032;7.641602;0.6943313;70.31277;9.999331;76.95013;4.497643;277.8935;359.8199;44.97448
19;439449369;637976336665405937;False;relax;65535;0;19960;7.614136;0.6954299;70.3153;10.00106;76.94798;3.828506;277.7939;359.9707;44.91871
19;449441171;637976336675395583;False;relax;65535;0;19107;7.288742;0.7084458;70.31608;10.0016;76.9471;3.541335;277.6433;0.1233933;44.99763
19;459432239;637976336685390506;False;relax;65535;0;19560;7.461548;0.7015336;70.31485;10.00064;76.94825;3.946759;277.8253;0.1163052;45.09246
19;469428507;637976336695385492;False;relax;65535;0;19374;7.390594;0.7043717;70.31497;10.00086;76.94824;3.888144;277.8973;0.1239393;45.05826
19;479425244;637976336705381239;False;relax;65535;0;19278;7.353973;0.7058366;70.31588;10.00114;76.94707;3.629524;277.8146;0.1479787;45.02349
19;489419813;637976336715375422;False;relax;65535;0;18706;7.135773;0.7145647;70.31856;10.00264;76.94606;2.93999;277.768;0.209866;45.05254
19;499412762;637976336725370582;False;relax;65535;0;18842;7.187653;0.7124895;70.31863;10.003;76.94679;2.788123;277.7964;0.1022624;45.09179
19;509409813;637976336735364848;False;relax;65535;0;18944;7.226563;0.7109331;70.31487;10.00084;76.94856;3.772494;277.8299;0.02638521;45.00198
19;519406045;637976336745360418;False;relax;65535;0;18793;7.168961;0.7132372;70.31411;10.00055;76.94948;3.915015;277.879;359.9639;45.0188
19;529401586;637976336755360370;False;relax;65535;0;18277;6.972122;0.7211109;70.31448;10.00034;76.94846;3.982323;277.7436;-0.004122367;45.03017
19;539614068;637976336765570350;False;relax;65535;0;17837;6.804276;0.7278248;70.3157;10.00122;76.94818;3.606203;277.7536;359.9399;45.07561
19;549613646;637976336775570544;False;relax;65535;0;17950;6.847382;0.7261006;70.31483;10.00048;76.94959;3.84632;277.9157;359.8691;45.04549
19;559607073;637976336785565581;False;relax;65535;0;17673;6.741714;0.7303273;70.31479;10.00024;76.95002;3.927461;278.0191;359.7941;45.05936
19;569603874;637976336795560569;False;relax;65535;0;18034;6.879425;0.7248188;70.31569;10.00044;76.94913;3.762005;277.9252;359.8227;45.01239
19;579598175;637976336805556522;False;relax;65535;0;18583;7.088852;0.7164416;70.31735;10.00186;76.94688;3.204149;277.613;0.1048432;45.01639
19;589593310;637976336815550356;False;relax;65535;0;17593;6.711197;0.731548;70.31572;10.001;76.9481;3.512525;277.712;359.8921;45.00484
19;599586698;637976336825545348;False;relax;65535;0;17923;6.837082;0.7265126;70.31512;10.00015;76.94992;3.887084;278.0058;359.7595;45.05828
19;609581435;637976336835535620;False;relax;65535;0;17456;6.658936;0.7336385;70.31558;10.00028;76.95013;3.778272;278.0331;359.7502;45.03257
19;619581064;637976336845536575;False;relax;65535;0;18165;6.929398;0.7228199;70.31635;10.00064;76.94839;3.684918;277.8283;359.9064;44.96066
19;629573003;637976336855530375;False;relax;65535;0;17199;6.560898;0.7375601;70.31728;10.00141;76.94613;3.350983;277.5769;0.1907875;45.03891
19;639563364;637976336865520464;False;relax;65535;0;17392;6.634521;0.7346151;70.31641;10.0008;76.94746;3.504139;277.7353;0.03436354;45.10629
19;649560976;637976336875515500;False;relax;65535;0;18911;7.213974;0.7114366;70.31512;10.00018;76.94943;3.834475;277.9383;359.8696;45.06524
19;659555191;637976336885510389;False;relax;65535;0;19463;7.424545;0.7030137;70.31548;10.00024;76.94987;3.795629;277.974;359.8224;45.06626
19;669548525;637976336895506941;False;relax;65535;0;19629;7.487869;0.7004806;70.31848;10.00186;76.94801;3.093324;277.8369;359.9391;45.09507
19;679549800;637976336905505480;False;relax;65535;0;20179;7.697678;0.6920882;70.31828;10.00208;76.94753;2.999648;277.777;359.9855;45.02568
19;689542364;637976336915500345;False;relax;65535;0;19813;7.55806;0.697673;70.31668;10.00077;76.94991;3.457663;278.026;359.6696;45.07079
