SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
3;20878277;637973937380773288;False;relax;65535;0;13351;5.093002;0.7962768;69.97102;9.991269;77.04317;351.8221;284.3167;356.5551;23.08014
3;23067645;637973937382963669;False;relax;65535;0;11726;4.473114;0.8210727;69.96131;9.973641;77.04566;359.7758;283.8096;356.9713;16.09152
3;33146989;637973937393040634;False;relax;65535;0;11845;4.518509;0.8192569;69.96282;9.980843;77.04153;356.0739;283.1501;357.198;44.29837
3;43134258;637973937403027376;False;relax;65535;0;11488;4.382324;0.8247043;69.97716;10.00076;77.03466;346.1485;282.7192;357.9967;45.0976
3;53129808;637973937413025108;False;relax;65535;0;11660;4.447937;0.8220798;69.98278;10.00454;77.02796;343.863;281.5919;358.5037;45.14281
3;63121024;637973937423016854;False;relax;65535;0;11782;4.494476;0.8202182;69.98377;10.00046;77.04696;345.7656;285.1569;354.5395;45.17941
3;73124857;637973937433020860;False;relax;65535;0;12395;4.728317;0.8108644;69.98013;9.998851;77.03751;346.8573;282.0446;356.5612;45.00773
3;83122769;637973937443014896;False;relax;65535;0;12732;4.856873;0.8057221;69.97717;9.996846;77.02953;347.6837;280.0296;357.6997;44.96697
3;93116758;637973937453011645;False;relax;65535;0;12849;4.901505;0.8039368;69.96036;9.968882;77.04281;1.407835;282.7079;357.043;45.02016
3;103111778;637973937463004220;False;relax;65535;0;12475;4.758835;0.8096437;69.97795;9.994404;77.06744;347.9185;300.0403;357.7227;45.00155
3;113102911;637973937472995967;False;relax;65535;0;11942;4.555511;0.8177767;69.98387;10.00868;77.04941;341.1505;290.6137;357.5668;45.03323
3;123090889;637973937482983551;False;relax;65535;0;12728;4.855347;0.8057832;69.97952;9.998754;77.04655;346.5602;288.1492;357.3936;45.11603
3;133087528;637973937492980298;False;relax;65535;0;12499;4.76799;0.8092775;69.97622;9.996675;77.0432;347.4837;285.6711;357.8141;45.10262
3;143084170;637973937502977253;False;relax;65535;0;12890;4.917145;0.8033112;69.97058;9.991553;77.03738;350.2095;280.5931;357.6577;45.06037
