SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
16;97476613;637976272426496982;False;relax;65535;0;29965;11.43074;0.5427634;70.24205;9.941026;76.87793;357.2722;285.701;358.284;23.07635
16;99941184;637976272428962578;False;relax;65535;0;27327;10.42442;0.5830167;70.24072;9.941346;76.87466;356.8206;284.1028;358.8609;13.8247
16;108881503;637976272437900592;False;relax;65535;0;27559;10.51292;0.5794766;70.24062;9.941963;76.87132;356.4301;282.6178;359.1107;29.9684
16;118992749;637976272448015555;False;relax;65535;0;27360;10.43701;0.5825132;70.24213;9.943058;76.86905;355.916;282.0452;359.2536;44.70666
16;128990180;637976272458010495;False;relax;65535;0;27151;10.35728;0.5857023;70.24031;9.941319;76.87051;356.868;282.7173;359.1908;44.93801
16;138982841;637976272468004456;False;relax;65535;0;28275;10.78606;0.5685512;70.24089;9.941721;76.86899;356.8687;283.2368;359.7402;44.97872
16;148975457;637976272477995381;False;relax;65535;0;27541;10.50606;0.5797513;70.24059;9.941401;76.87023;356.9684;283.1666;359.3383;45.03287
16;158971408;637976272487990528;False;relax;65535;0;26975;10.29015;0.5883879;70.24158;9.942111;76.86903;356.5791;283.2271;359.6239;44.97492
16;168966888;637976272497985685;False;relax;65535;0;26904;10.26306;0.5894713;70.24212;9.942249;76.86854;356.4795;283.2442;359.7361;45.01434
16;178963668;637976272507985621;False;relax;65535;0;26362;10.0563;0.5977417;70.24188;9.9419;76.87009;356.5317;283.3248;359.3564;44.9852
16;188961933;637976272517981075;False;relax;65535;0;25878;9.871674;0.605127;70.24237;9.942603;76.86902;356.1561;283.1843;359.5866;44.91922
16;198940487;637976272527960930;False;relax;65535;0;26118;9.963226;0.6014649;70.24309;9.943029;76.86861;356.0145;283.2812;359.6255;45.15298
16;208945857;637976272537965455;False;relax;65535;0;26083;9.949875;0.6019989;70.24313;9.94281;76.86919;355.9946;283.3853;359.4755;45.00174
