SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
2;20401335;637973858027924787;False;relax;65535;0;2048;0.78125;0.9687495;70.24645;9.75774;77.02568;359.4023;282.2083;359.4616;23.07512
2;24345186;637973858031870477;False;relax;65535;0;2018;0.7698059;0.9692073;70.25607;9.771988;77.01904;351.1943;279.5665;0.09266114;29.9041
2;34337385;637973858041864049;False;relax;65535;0;2715;1.03569;0.9585717;70.25552;9.771349;77.01785;351.6219;279.2976;0.4352787;44.72564
2;44336141;637973858051860782;False;relax;65535;0;2497;0.9525299;0.9618982;70.25324;9.769725;77.01854;352.5707;279.3754;0.2748328;44.96024
2;54170190;637973858061694238;False;relax;65535;0;2024;0.7720947;0.9691157;70.25003;9.764727;77.01975;355.3492;279.7936;0.4169611;44.96696
2;64215646;637973858071740989;False;relax;65535;0;1997;0.761795;0.9695277;70.25108;9.765584;77.01891;354.8699;279.6786;0.6142595;44.95135
2;74202118;637973858081728222;False;relax;65535;0;2514;0.9590149;0.9616388;70.24957;9.764639;77.0195;355.4247;279.6165;0.535359;45.12403
2;84200708;637973858091725225;False;relax;65535;0;2553;0.9738922;0.9610437;70.24536;9.759715;77.0189;358.2025;279.3651;0.873353;45.05243
2;94195829;637973858101719161;False;relax;65535;0;2591;0.9883881;0.9604639;70.244;9.757548;77.01797;359.3578;279.5963;1.418791;45.05537
2;104192446;637973858111715907;False;relax;65535;0;2091;0.7976532;0.9680934;70.24304;9.755915;77.01898;0.27256;279.7836;1.298989;45.05913
2;114187482;637973858121714947;False;relax;65535;0;2184;0.8331299;0.9666743;70.24335;9.755878;77.0194;0.2525284;279.7903;1.179761;45.0161
2;124177728;637973858131701695;False;relax;65535;0;2120;0.8087158;0.9676509;70.24301;9.755903;77.01894;0.3240191;279.7553;1.281755;44.94769
2;134172785;637973858141700523;False;relax;65535;0;2089;0.7968903;0.9681239;70.24213;9.755527;77.0194;0.5092357;279.6583;1.197472;45.02337
