SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
9;124359704;637975506590078596;False;relax;65535;0;17716;6.758118;0.7296712;70.19865;9.968237;77.00823;5.349804;281.9765;357.4708;23.0112
9;130716484;637975506596434868;False;relax;65535;0;8466;3.229523;0.8708171;70.19762;9.966974;77.01032;6.185657;282.508;357.7134;35.29457
9;140723372;637975506606441877;False;relax;65535;0;8709;3.32222;0.8671092;70.19704;9.966619;77.00949;6.271501;282.2606;357.8162;44.5847
9;150707465;637975506616423870;False;relax;65535;0;8993;3.430557;0.8627756;70.19819;9.967199;77.00996;6.032509;282.5434;357.7475;45.14342
9;160702562;637975506626420873;False;relax;65535;0;9410;3.58963;0.8564126;70.19907;9.96824;77.01056;5.513477;282.756;357.812;45.01826
9;170696446;637975506636412874;False;relax;65535;0;8964;3.419495;0.8632181;70.19851;9.969681;77.00912;5.02774;282.3506;357.7005;45.06662
9;180692519;637975506646409884;False;relax;65535;0;9360;3.570557;0.8571755;70.19963;9.969391;77.00909;4.994858;282.3516;357.8019;45.05191
9;190690371;637975506656406884;False;relax;65535;0;9664;3.686523;0.8525368;70.19913;9.969023;77.00923;5.148353;282.4437;357.8504;45.00705
9;200687429;637975506666403883;False;relax;65535;0;9170;3.498077;0.8600748;70.19882;9.968365;77.00993;5.422864;282.4465;357.8016;44.9314
9;210707474;637975506676425888;False;relax;65535;0;9178;3.501129;0.8599527;70.19924;9.968647;77.00993;5.21751;282.621;357.7582;45.05593
9;220673794;637975506686392887;False;relax;65535;0;9613;3.667068;0.853315;70.20055;9.969585;77.01006;4.887712;282.7533;357.7124;45.04723
9;230664741;637975506696384887;False;relax;65535;0;8954;3.41568;0.8633707;70.19965;9.969494;77.00987;4.828099;282.6885;357.7995;45.03141
9;240916277;637975506706636955;False;relax;65535;0;9074;3.461456;0.8615397;70.19963;9.969512;77.00975;4.912416;282.6646;357.7631;44.38171
9;250885216;637975506716603939;False;relax;65535;0;9594;3.659821;0.853605;70.19968;9.969649;77.01054;4.893512;282.9155;357.6333;44.89558
9;260881254;637975506726600940;False;relax;65535;0;9689;3.69606;0.8521553;70.19987;9.969865;77.01019;4.711896;282.8979;357.6678;44.8562
