SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
11;20462343;637975589795678663;False;relax;65535;0;18538;7.071686;0.7171283;70.07581;10.00637;76.97375;348.668;279.9708;356.9971;23.07431
11;26564181;637975589801779740;False;relax;65535;0;18833;7.184219;0.7126268;70.07663;10.00672;76.97343;348.446;279.8837;357.4029;37.69544
11;36596097;637975589811811511;False;relax;65535;0;19153;7.30629;0.7077439;70.0789;10.00846;76.97314;347.8293;279.9539;356.9214;44.90997
11;46593885;637975589821808274;False;relax;65535;0;18609;7.09877;0.7160448;70.07587;10.00701;76.97795;348.5383;279.9581;356.8894;45.00908
11;56589836;637975589831805040;False;relax;65535;0;18971;7.236862;0.7105211;70.07639;10.00914;76.9737;347.6422;278.8246;358.1655;44.89664
11;66581383;637975589841796804;False;relax;65535;0;19996;7.627869;0.6948806;70.07381;10.00659;76.97521;348.8225;280.0705;358.2065;45.06532
11;76575367;637975589851788567;False;relax;65535;0;18606;7.097626;0.7160906;70.07312;10.0054;76.97543;349.1987;279.9605;358.1167;45.10316
11;86572224;637975589861785330;False;relax;65535;0;18474;7.047272;0.7181048;70.07568;10.00765;76.97487;348.2239;280.2231;358.4009;45.02045
11;96567759;637975589871782094;False;relax;65535;0;18236;6.956482;0.7217365;70.07694;10.00853;76.97668;348.0094;281.0361;358.5792;44.95958
11;106562338;637975589881778859;False;relax;65535;0;17710;6.755829;0.7297627;70.07322;10.00566;76.97784;349.4766;281.3788;358.2682;45.05261
11;116558016;637975589891770622;False;relax;65535;0;18147;6.922531;0.7230945;70.07497;10.00608;76.97683;349.064;280.9029;358.025;45.0153
11;126549421;637975589901762386;False;relax;65535;0;17825;6.799698;0.7280079;70.07272;10.00364;76.9789;350.2927;281.5233;357.7643;44.9998
11;136543637;637975589911759151;False;relax;65535;0;18024;6.87561;0.7249714;70.07466;10.00526;76.97953;349.5989;282.0815;358.0293;44.99493
11;146720058;637975589921935947;False;relax;65535;0;17824;6.799316;0.7280232;70.07569;10.00452;76.97991;349.8866;282.7879;358.0681;41.86861
11;156758258;637975589931972713;False;relax;65535;0;18520;7.064819;0.7174029;70.07597;10.00596;76.97873;349.3022;283.234;358.1091;44.87238
11;166753007;637975589941969481;False;relax;65535;0;18464;7.043457;0.7182574;70.07581;10.00531;76.97704;349.4086;283.0413;358.4595;45.00091
11;176747047;637975589951961246;False;relax;65535;0;17817;6.796646;0.72813;70.07579;10.00504;76.97832;349.5949;283.1374;358.1147;45.0391
11;186740611;637975589961953010;False;relax;65535;0;17797;6.789017;0.7284352;70.06763;10.00691;76.96892;348.2714;281.6309;358.995;45.05432
11;196738555;637975589971954775;False;relax;65535;0;18823;7.180405;0.7127794;70.07503;10.00469;76.97795;349.0804;281.8488;357.8639;44.63593
11;206733481;637975589981946540;False;relax;65535;0;18608;7.098389;0.7160601;70.08044;10.00392;76.97935;348.3493;281.809;356.906;45.03492
11;216729524;637975589991943303;False;relax;65535;0;19288;7.357788;0.705684;70.08115;10.00578;76.97971;347.5115;282.4554;356.7808;44.96892
11;226722889;637975590001940066;False;relax;65535;0;19587;7.471848;0.7011215;70.08105;10.00551;76.97925;347.9344;282.379;357.0503;45.0354
11;236718589;637975590011931832;False;relax;65535;0;19822;7.561493;0.6975357;70.08002;10.00438;76.98032;348.3656;282.4384;356.7845;45.04628
11;246715706;637975590021928596;False;relax;65535;0;19485;7.432938;0.702678;70.07871;10.00387;76.98152;348.4134;282.278;356.722;45.03288
11;256711097;637975590031925360;False;relax;65535;0;19179;7.316208;0.7073472;70.07841;10.00414;76.9802;348.4392;282.1308;356.9043;45.00404
11;266704398;637975590041917123;False;relax;65535;0;17962;6.851959;0.7259175;70.07832;10.00406;76.9814;348.3652;282.3331;356.8746;45.0621
11;276695621;637975590051908887;False;relax;65535;0;18517;7.063675;0.7174487;70.07733;10.00323;76.98206;348.7288;282.2051;356.8032;45.05947
11;286693739;637975590061910651;False;relax;65535;0;17980;6.858826;0.7256428;70.07668;10.00261;76.9824;348.9605;282.2089;356.7446;45.02715
11;296689167;637975590071902415;False;relax;65535;0;17863;6.814194;0.7274281;70.07658;10.00216;76.98209;349.0654;282.2349;356.7739;45.02035
11;306685963;637975590081899179;False;relax;65535;0;18631;7.107162;0.7157091;70.07597;10.00186;76.98244;349.3197;282.2152;356.7911;44.99681
11;316682875;637975590091895945;False;relax;65535;0;17982;6.859589;0.7256123;70.07597;10.00199;76.98363;349.0898;282.3398;356.6349;44.95534
11;326630648;637975590101847701;False;relax;65535;0;18151;6.924057;0.7230335;70.07513;10.00141;76.98406;349.3247;282.3397;356.5975;42.58768
11;336667811;637975590111884473;False;relax;65535;0;18894;7.207489;0.711696;70.07502;10.00095;76.98389;349.5322;282.2686;356.7023;44.98969
11;346665845;637975590121881236;False;relax;65535;0;17999;6.866074;0.7253529;70.07596;10.00136;76.98388;349.3199;282.3556;356.6785;44.98872
11;356659532;637975590131873001;False;relax;65535;0;18179;6.934738;0.7226062;70.07493;10.00089;76.98521;349.5453;282.3452;356.4851;45.00155
11;366656384;637975590141869763;False;relax;65535;0;18131;6.916428;0.7233387;70.07581;10.00139;76.98374;349.3462;282.201;356.633;44.95169
11;376558810;637975590151771513;False;relax;65535;0;17573;6.703568;0.7318532;70.07606;10.00103;76.98406;349.5594;282.3886;356.5454;43.29546
11;386759255;637975590161973314;False;relax;65535;0;17913;6.833267;0.7266651;70.07214;10.00041;76.98527;349.685;282.2746;356.5279;38.76764
11;396749247;637975590171965077;False;relax;65535;0;17567;6.701279;0.7319447;70.07198;10.00045;76.98426;349.7878;282.2779;356.5537;45.02359
11;406746519;637975590181961842;False;relax;65535;0;17806;6.79245;0.7282978;70.07288;10.0005;76.98486;349.7588;282.3121;356.4229;45.00972
11;416746050;637975590191963607;False;relax;65535;0;17885;6.822586;0.7270924;70.07559;10.00163;76.98329;349.4392;282.2141;356.6172;44.9192
11;426737912;637975590201955369;False;relax;65535;0;18391;7.01561;0.7193713;70.0752;10.00199;76.98424;349.2454;282.2805;356.3962;44.99923
11;436739047;637975590211952136;False;relax;65535;0;18418;7.025909;0.7189593;70.07551;10.00332;76.97694;348.5372;280.2849;356.9226;44.87737
11;446723664;637975590221938892;False;relax;65535;0;18027;6.876755;0.7249256;70.07631;10.00213;76.97827;349.0888;280.75;356.8452;45.03534
11;456718408;637975590231935661;False;relax;65535;0;18379;7.011032;0.7195544;70.07685;10.00238;76.97891;349.0213;280.8424;356.84;45.04729
11;466716819;637975590241932426;False;relax;65535;0;18592;7.092285;0.7163042;70.07578;10.00228;76.98115;349.1392;281.1161;356.6382;45.04872
11;476712979;637975590251929190;False;relax;65535;0;17828;6.800842;0.7279621;70.0767;10.00272;76.98039;348.8746;281.1709;356.7924;45.03141
11;486711431;637975590261925956;False;relax;65535;0;18239;6.957626;0.7216907;70.07626;10.00235;76.98007;349.0641;281.1391;356.7782;44.95447
11;496709041;637975590271922721;False;relax;65535;0;18115;6.910324;0.7235828;70.07545;10.00216;76.97993;349.1407;281.0752;356.8743;44.92416
11;506698006;637975590281914483;False;relax;65535;0;17924;6.837463;0.7264973;70.07539;10.00182;76.98092;349.3076;281.3602;356.7145;44.97039
11;516691221;637975590291906253;False;relax;65535;0;17619;6.721115;0.7311513;70.07552;10.00202;76.98106;349.2902;281.2478;356.655;45.03374
11;526687171;637975590301903009;False;relax;65535;0;17629;6.72493;0.7309987;70.07465;10.00155;76.98199;349.3446;281.3279;356.6114;45.02461
11;536682191;637975590311899774;False;relax;65535;0;17299;6.599045;0.7360342;70.0745;10.00158;76.98105;349.3479;281.1074;356.5966;45.02393
11;546679343;637975590321896540;False;relax;65535;0;18122;6.912994;0.723476;70.0743;10.00162;76.98058;349.3747;281.0223;356.6862;45.01242
11;556674517;637975590331888303;False;relax;65535;0;17433;6.650162;0.7339895;70.07385;10.00134;76.98179;349.367;281.1393;356.5593;44.97967
11;566667456;637975590341885068;False;relax;65535;0;17696;6.750488;0.7299764;70.07359;10.00098;76.98201;349.5988;281.2298;356.5681;45.03673
11;576668975;637975590351886833;False;relax;65535;0;17518;6.682587;0.7326925;70.07345;10.0009;76.98168;349.682;281.0312;356.6355;44.9067
11;586662871;637975590361878597;False;relax;65535;0;18284;6.974792;0.7210041;70.07346;10.00125;76.98258;349.3807;281.0468;356.4509;44.94334
11;596652882;637975590371870361;False;relax;65535;0;17833;6.80275;0.7278858;70.07296;10.0009;76.9837;349.5674;281.2583;356.3816;45.01484
11;606643991;637975590381857123;False;relax;65535;0;17818;6.797028;0.7281147;70.07301;10.00103;76.98397;349.5655;281.2932;356.3003;45.09789
