SubjectID;TimeStamp;Time;Awareness;Phase;MinimumEDA;MaximumEDA;EDARaw;EDAµSiemens;WeatherValue;HeadPosX;HeadPosY;HeadPosZ;HeadRotX;HeadRotY;HeadRotZ;Fps
26;20726702;637976492564103976;False;relax;65535;0;19526;7.448578;0.7020524;70.42832;9.973861;76.83841;357.4727;284.4166;0.2451153;23.07124
26;23224637;637976492566599405;False;relax;65535;0;17608;6.716919;0.7313191;70.42992;9.974089;76.83815;357.3466;284.4982;0.0857031;18.77209
26;33108432;637976492576483740;False;relax;65535;0;18292;6.977844;0.720882;70.42964;9.973899;76.83817;357.4943;284.3624;0.1350477;44.39586
26;43146094;637976492586521327;False;relax;65535;0;17543;6.692123;0.732311;70.43048;9.973846;76.83751;357.5792;284.4131;0.2006794;44.96131
26;53138901;637976492596516131;False;relax;65535;0;18526;7.067108;0.7173114;70.42768;9.971774;76.83815;358.8703;284.2574;0.1280529;45.03654
26;63135790;637976492606510613;False;relax;65535;0;18754;7.154083;0.7138323;70.43125;9.974733;76.83756;357.2509;284.4484;0.01104475;44.94614
26;73128707;637976492616505356;False;relax;65535;0;17475;6.666183;0.7333486;70.43206;9.975746;76.83745;357.1349;284.6085;0.08941599;45.00084
26;83240107;637976492626615928;False;relax;65535;0;17959;6.850815;0.7259632;70.43579;9.977754;76.83883;355.8978;285.1294;359.4766;44.40822
26;93122240;637976492636495450;False;relax;65535;0;18182;6.935883;0.7225605;70.43583;9.97702;76.83661;356.1044;285.0015;359.9182;44.98362
26;103117963;637976492646495427;False;relax;65535;0;18307;6.983566;0.7206531;70.43615;9.977245;76.83636;355.8506;284.9437;359.6811;44.90115
26;113109186;637976492656485384;False;relax;65535;0;17781;6.782913;0.7286794;70.43736;9.977662;76.83555;355.4021;284.8351;359.7938;45.04176
26;123093921;637976492666470416;False;relax;65535;0;17817;6.796646;0.72813;70.43906;9.978192;76.83477;355.112;284.8559;359.8893;45.12005
26;133093867;637976492676470476;False;relax;65535;0;18773;7.161331;0.7135424;70.43911;9.977993;76.83495;355.2015;284.8376;359.7192;45.04587
26;143092123;637976492686465389;False;relax;65535;0;18868;7.197571;0.7120928;70.43887;9.976814;76.83629;355.7626;285.0469;359.3486;44.90802
26;153307368;637976492696680538;False;relax;65535;0;19095;7.284164;0.708629;70.43942;9.976838;76.83592;355.6366;285.0569;359.2549;45.0304
26;163301820;637976492706676641;False;relax;65535;0;17865;6.814957;0.7273976;70.43886;9.976576;76.8362;355.7531;284.982;359.1698;45.01945
26;173295900;637976492716670305;False;relax;65535;0;17900;6.828308;0.7268635;70.43913;9.976818;76.83582;355.6941;284.8636;359.2536;45.04925
26;183295154;637976492726670535;False;relax;65535;0;18553;7.077408;0.7168994;70.43789;9.976115;76.83594;356.2436;284.8411;359.2825;44.96701
26;193287429;637976492736660501;False;relax;65535;0;18574;7.085419;0.7165789;70.43894;9.976071;76.83598;356.0581;284.9009;359.1104;45.00041
26;203280410;637976492746655932;False;relax;65535;0;17822;6.798553;0.7280537;70.42288;9.968477;76.79626;0.5574961;262.6251;0.7509549;45.04706
26;213268763;637976492756645446;False;relax;65535;0;17687;6.747055;0.7301137;70.42171;9.945018;76.73257;12.16001;240.8197;5.088855;45.09395
26;223268515;637976492766645649;False;relax;65535;0;17987;6.861496;0.725536;70.43266;9.943104;76.70166;11.81986;229.223;5.53776;44.98809
26;233261686;637976492776636091;False;relax;65535;0;17161;6.546402;0.7381399;70.46252;9.962313;76.69343;1.032844;224.7532;12.22182;45.03716
26;243256612;637976492786630403;False;relax;65535;0;17096;6.521606;0.7391317;70.41531;9.957624;76.75903;5.261431;261.2142;12.0397;45.03449
26;253257657;637976492796630390;False;relax;65535;0;17595;6.71196;0.7315175;70.41724;9.962263;76.78069;2.713562;276.3098;15.48409;44.95838
26;263247906;637976492806624765;False;relax;65535;0;17184;6.555176;0.737789;70.41722;9.960291;76.77802;3.620992;275.5717;16.07089;45.03114
26;273242074;637976492816615475;False;relax;65535;0;17871;6.817245;0.727306;70.4201;9.962747;76.78252;2.617597;276.1929;14.86442;45.04695
26;283240328;637976492826615913;False;relax;65535;0;18353;7.001114;0.7199512;70.41756;9.9615;76.80611;4.16094;281.6265;9.863151;44.99244
26;293237227;637976492836610646;False;relax;65535;0;18258;6.964874;0.7214008;70.42109;9.962697;76.81871;3.669621;286.7762;8.505016;45.02368
26;303234173;637976492846610381;False;relax;65535;0;17960;6.851196;0.725948;70.42721;9.965042;76.83273;2.587303;293.2294;7.201156;44.99783
26;313271203;637976492856645462;False;relax;65535;0;17837;6.804276;0.7278248;70.43194;9.966805;76.84048;1.637629;298.4289;7.107297;45.04312
26;323222368;637976492866595571;False;relax;65535;0;17434;6.650543;0.7339742;70.44317;9.971773;76.85566;358.6687;308.6931;6.878366;44.99285
26;333216940;637976492876590349;False;relax;65535;0;17887;6.823349;0.7270619;70.47372;9.971921;76.89417;358.1785;328.9257;3.342523;45.01358
26;343212810;637976492886585577;False;relax;65535;0;18070;6.893158;0.7242694;70.51718;9.948936;76.94389;7.775311;342.6593;352.5411;45.037
26;353221745;637976492896595227;False;relax;65535;0;17582;6.707001;0.7317159;70.48414;9.909615;76.95421;26.59237;332.315;354.5632;44.87976
26;363219995;637976492906595457;False;relax;65535;0;18258;6.964874;0.7214008;70.42043;9.89498;76.90323;33.77131;300.4156;353.5965;44.88819
26;373199310;637976492916575356;False;relax;65535;0;18193;6.940079;0.7223926;70.39727;9.897877;76.85776;33.14377;282.6644;354.1432;45.17854
26;383210945;637976492926586089;False;relax;65535;0;17729;6.763077;0.7294728;70.39577;9.89677;76.85331;33.69054;282.1035;354.8677;45.02881
